ISO 639-3	Population
fir	2,500 (Blench 2003).
fip	195,000 (2002 census). About 140,000 speakers of Northern, 45,000 of Kwa, and 10,000 of Milanzi varieties.
fiw	300 (Wurm and Hattori 1981).
fit	30,000 (Parkvall 2009). Total users in all countries: 60,000.
fia	295,000 (1996). Total users in all countries: 669,000.
fie	26,100 (2000).
fij	650,000 in Fiji, all users. 330,000 (1996 census). 10,000 in Kadavu (1,500 Nabukelevu), 20,000 in Northeast Viti Levu. 320,000 (1991 UBS). Total users in all countries: 659,210 (as L1: 339,210; as L2: 320,000).
fin	5,685,380 5,100,000 (European Commission 2012). 30,000 speakers of Tornedalen Finnish. Total users in all countries: 5,685,380 (as L1: 5,413,380; as L2: 272,000).
fil	45,000,000 (2013), L2 users.
mdj	620,000.
mdk	15,000 (1991 SIL). 1,200 Andinai.
mdh	1,100,000 (2010 SIL).
mdi	60,000 (1991 SIL).
mdn	60,000 (2010 census).
mdl	200 (2014 Malta Deaf People Association). 200 signers out of 1,000 deaf and hard-of-hearing (2014 Malta Deaf People Association). 2,000 (2014 IMB).
mdm	100,000 (1991 SIL).
mdb	700 (Wurm 1975).
mdc	970 (2000 census).
mda	100,000 (1993 SIL).
mdf	2,030 (2010 census). Ethnic population: 4,770 (2010 census).
mdg	10 (1991 R. Blench). Ethnic population: 29,800 (1993 census).
mdd	38,600 (1982 SIL). Total users in all countries: 51,100.
mde	296,000 (2006 E. Zürcher), decreasing. Very few monolinguals.
mdz	260 (2006 FUNASA).
mdx	35,950, all users. L1 users: 33,900 (2010 UNSD), increasing. L2 users: 2,050. 17,600 monolinguals.
mdy	101,430, all users. L1 users: 94,700 (2010 UNSD). L2 users: 6,730. 40,500 monolinguals.
mdr	475,000 (2000 census).
mds	1,350 (2000 census).
mdp	200,000 (Nida 1972).
mdq	100,000 (Welmers 1971a).
mdv	5,330 (2000 INALI). 480 monolinguals. Mostly in Agua del Toro and Ocotlán. Ethnic population: 6,000 (1995 census).
mdw	161,000 (2014 J. Leclerc).
mdt	90,000 (2014 J. Leclerc). Total users in all countries: 135,500.
mdu	40,000 (2014 J. Leclerc).
smz	3,000 (2007 SIL). 2,000 Koopei and 1,000 Mainoki.
smy	60,000 (2007).
smx	4,200 (2002).
smw	300,000 (1989).
smv	
smu	4,100 (2005 J. Ironside).
smt	10,200 (2001 census).
sms	300 (Salminen 2007). 1,830 all Saami in Finland (2010 census). Ethnic population: 500 (1995 M. Krauss). Total users in all countries: 650.
smr	30,000.
smq	900 (2001 SIL).
dsq	100,000 (2007 M. Almaki), increasing. 70,000 youth are monolingual. Total users in all countries: 101,800.
dsn	No known L1 speakers. There were 6 elderly speakers in 1978 (Wurm 2007).
dso	50,000 (2003 Asha Kiran Society).
dsl	5,000 (2007). 24,500 (2014 IMB).
sml	90,000 (2000). 30,000 monolinguals. Ethnic population: 105,000. Total users in all countries: 105,000.
smk	56,200, all users. 51,200 (2007 census), decreasing. 5,000. 510 monolinguals. Ethnic population: 104,000.
smj	1,500 (Krauss 1992). 1,000–2,000 speakers in Norway and Sweden (Salminen 2007). Ethnic population: 6,000. Total users in all countries: 2,000.
dsh	48,230 in Ethiopia, all users. L1 users: 48,000 (2010 UNSD). L2 users: 230. 31,400 monolinguals. Total users in all countries: 60,730 (as L1: 60,500; as L2: 230).
dsi	2,370 (2000).
smg	450 (2012 SIL).
smf	410 (2003 SIL).
sme	20,000 (Laakso et al 2013). Ethnic population: 30,000 (1995 M. Krauss). Total users in all countries: 25,700.
dse	13,000 in Netherlands, all users. 7,500 (2014 EUD). Population estimates vary widely, in part because they count different things: 7,500 sign language users (2014 EUD). 10,000–13,000 deaf or severely hard of hearing (Dovenschap brochure). 16,000 sign language users, deaf and hearing (Crasborn 2001). 45,000 deaf, 495,000 hard of hearing (2005 National Hearing Foundation). 86,500 deaf (2014 IMB). 5,500 (1997 Commissie Nederlandse Gebarentaal). Total users in all countries: 13,000 (as L1: 7,500; as L2: 5,500).
dsb	6,670 (Salminen 2007). 20,000–30,000 total Sorbian, one-third in lower Lusatia, two-thirds in upper Lusatia (Salminen 2007). Ethnic population: 50,000.
smb	3,040 (1990 census).
sma	300 (Krauss 1992). Ethnic population: 600. Total users in all countries: 600.
syo	860 (Bradley 2007b), decreasing.
syn	60 (1997 H. Mutzafi).
ian	8,440 (2003 SIL).
dgl	70,000 (2014 M. Jaeger).
atg	20,000 (1973 SIL).
atd	26,700 (2000 census).
ate	8 (Daniels 2015).
atb	80,000 (1999 X. Xijian). 20,000 monolinguals. Total users in all countries: 110,000.
ata	2,000 (2007 SIL).
atn	21,100 (2000).
ato	4,200 (2000 SIL).
atl	150 (Wurm 2000). Ethnic population: 380.
atm	2 (Wurm 2000). In 1973, only a few families of speakers were reported. Probably extinct (Wurm 2007).
atj	5,920 (2011 census).
atk	1,500 (1980 SIL).
ati	381,000 (1993 SIL). 34,000 live in Abidjan.
atv	57,400 (2010 census). 2,000 Tuba, several thousand Kumandy, 2,000 Chalkan (Salminen 2007). Census includes Southern Altai [alt]. Ethnic population: 74,200 (2010 census). Includes Southern Altai [alt].
atw	No known L1 speakers. Ethnic population: 200 (1977 SIL).
att	1,000 (1998 SIL). Ethnic population: 1,000.
atu	50,000 (1998). The Kuek and Jikeyi have many monolinguals and are regarded as having the purest form of the language (SIL).
atr	930 (2001 ISA). Ethnic population: 930 (Moore 2006).
ats	10 (Golla 2007), decreasing. No fully fluent speakers (Golla 2007). Ethnic population: 1,000 (Golla 2007).
atp	710 (2000).
atq	12,000 (1984 SIL).
atz	11 (2013 Y. Kimoto). 35–45 have some knowledge of the language, but cannot speak properly (2013 Y. Kimoto). Ethnic population: 150.
atx	17 (1986 SIL). Total users in all countries: 42.
aty	900 (Lynch and Crowley 2001).
kfv	3,000 (2000 SIL).
kfw	1,400 (2000 SIL).
kft	206,000 (2011 census), all users. 91,200 (1995).
kfu	12,000 (2007). Ethnic population: 294,000. Kathodi.
kfr	823,000 (2001 census). Total users in all countries: 873,000.
kfs	295,000 (1991 census).
kfp	34,600 (2001 census). Few monolinguals.
kfq	574,000 (2001 census).
kfz	196,000 (Johnstone and Mandryk 2001). Total users in all countries: 202,000.
kfx	109,000 (1997). All Pahari 2,170,000 (1997).
kfy	2,360,000 (1998 survey). 472,000 monolinguals (1998 SIL).
kff	362,000 (2001 census).
kfg	2,800 (2007).
kfd	14,000 (2007 census).
kfe	930 (2001 census). Ethnic population: 1,400.
kfb	122,000 (2001 census).
kfc	20,000 (2007 WFA).
kfa	200,000 (2001). Ethnic population: 200,000. 100,000 in Kodagu District; 100,000 in Karnataka District and major cities.
kfn	3,000 (1993 SIL).
kfo	40,000 (1999 SIL).
kfl	600 (Good et al 2011).
kfm	25,000 (2014 J. Leclerc).
kfj	1,000 (1991).
kfk	80,100, all users. 65,100 (2001 census). 15,000.
kfh	29,400 (2004 survey). Ethnic population: 32,800 (2001 census).
kfi	180,000 (2000).
xii	87 (2000). Total users in all countries: 187.
xin	No known L1 speakers.
xir	No known L1 speakers. Ethnic population: 900 (2000).
xis	141,000 (2001 census).
xiy	1 (2011 SIL). Ethnic population: 600 (2002 ISA). The ethnic population probably includes Kuruaya [kyr] as they are sometimes considered a single ethnic group. There were 8 elders of Kuruaya and Xipaya descendance in Altamira reported to speak the native language in 2007 (Crevels 2007).
nzs	20,200 (McKee and Manning 2015), decreasing. Active Deaf community estimated 3,000–4,000 (2016 R. McKee). Marked decline across all age groups since 2001 (McKee and Manning 2015, McKee and McKee 2016).
nzu	
nzz	3,000 (2009 SIL).
nzy	18,500 (2000). Total users in all countries: 31,500.
nzb	120,000 (2007 R. Radke). Total users in all countries: 140,000.
nza	40,000 (2005 SIL), increasing. Based on the actual population of the subdivision where the Tigon Mbembe people are present, as of the official 2005 census (2014 C. Hamm). Total users in all countries: 60,000.
nzk	50,000 (1996).
nzi	299,000 (2013 UNSD). Includes 27,800 Evalue (2013 UNSD). Total users in all countries: 365,700.
bne	11,200 (2000 census).
nzm	34,100 (2001 census).
vgt	5,000 (2014 EUD). 6,000 (2005 M. Vermeerbergen). 5,000 sign language users (2014 EUD).
vgr	3,660 (2004 J. Leclerc).
lpx	50,000 (1995 S. Randal).
lpo	250,000 (Bradley 2007b). Few monolinguals.
lpn	1,000 (2004).
lpe	530 (1991 SIL).
lpa	400 (1989 census).
ztm	59 (1994 SIL).
ztl	4,200 (1983 SIL).
ztn	1,000 (1990 census).
zte	200 (1990 census).
ztg	2,500 (1990 census). 880 monolinguals. Mainly older women.
zty	5,000 (2004 SIL). 3,000 for Yatee and 2,000 for Lachirioag.
ztx	550 (1990 census). Ethnic population: 10,000 (1990 census).
ztu	9,500 (1990 census). 2,300 monolinguals.
ztt	50 (2000 INALI). Ethnic population: 4,660.
ztq	4,000 (1991 SIL).
ztp	75,000 (2000 census). 22,500 monolinguals (2005 census).
zts	5,000 (2007 SIL). 900 monolinguals.
irx	1,570 (1993 R. Doriot).
iry	10,000 (1991 OMF).
irr	4,420 (2000).
iru	200,000 (2003 E. Udayakumar).
irh	4,000 (1987 SIL).
iri	40,000 (1985 UBS).
irk	462,000 (Johnstone and Mandryk 2001).
irn	40 (2010 SIL). Ethnic population: 360 (2006 ISA).
ire	70 (Wurm 2000).
wtw	500 (2009 Masruddin and Wahibah), decreasing. Ethnic population: 4,000 (2009).
cuu	50,000 (2000 census). Ethnic population: 50,000 (2000 census). Based on county level Dai populations. Total users in all countries: 50,400.
cdn	1,830 (2000 USCWM). No monolinguals.
cut	3,140 (2000 INALI). 260 monolinguals.
wtf	510 (2003 SIL).
wth	No known L1 speakers.
wti	1,646,500 in Ethiopia, all users. L1 users: 1,630,000 (2010 UNSD), increasing. 4,840 Fadashi (2010 UNSD). L2 users: 16,500. 99,700 monolinguals. Total users in all countries: 1,826,500 (as L1: 1,810,000; as L2: 16,500).
wtk	350 (1998).
wtm	645,000 (2001 census). 51,600 monolinguals (2006 SIL).
rgu	12,000 (2011).
and	4,600 (1987 SIL).
prd	350,000 (1999). Very few monolinguals.
anf	700 (2003). Only a few fluent speakers left in an ethnic group of several hundred (Dimmendaal and Voeltz 2007).
gxx	293,000 (1999 SIL). 20,000 Niao (1995 SIL).
frc	25,600 (2010 census), decreasing.
fra	76,096,430 62,900,000 in France, all users. 60,000,000 (European Commission 2012). 2,900,000 (2010). Total users in all countries: 229,582,200 (as L1: 76,096,430; as L2: 153,485,770).
anb	No known L1 speakers. Last known speaker died in 1993.
frd	50,000 (Marshall 2000). 25,000 in the language area and 25,000 elsewhere (Marshall 2000). Decreasing use in mixed language towns. 500 monolinguals.
cdi	209,000 (2001 census). More speakers in Tapi district.
frs	200,000 (2015 A. Remmers). No monolinguals.
frr	10,000 (Stephens 1976). Ethnic population: 60,000 (Stephens 1976).
frq	280 (2003 SIL).
frp	150,000 (2013). Total users in all countries: 227,000.
frt	450 (Lynch and Crowley 2001). Ethnic population: 560.
fry	843,000 (2014). Total users in all countries: 845,200.
cub	6,100 (Civallero 2008), increasing. 610 monolinguals. Total users in all countries: 6,260.
ano	370 (2007 B. Pencue), decreasing. 10,000 in 1908 (Landaburu 1979). 50 monolinguals. Ethnic population: 520 (Crevels 2007).
anh	2,000 (1991 UBS).
ani	5,800 (2010 census). Ethnic population: 40,000 (2014 NCRP).
prk	400,000 (2000 census). Total users in all countries: 805,700.
ant	6 (2006 census).
rgk	No known L1 speakers. Ethnic population: 1,010 (2000). 1,420 all countries.
prt	20,000 (2001). Possibly 3,000 Ban Wen dialect speakers. Total users in all countries: 48,700 (as L1: 41,900; as L2: 6,800).
prw	430 (Wurm and Hattori 1981).
sjr	2,080 (2000 census).
cui	2,200 (Civallero 2008). 1,500 monolinguals. Ethnic population: 2,280 (Crevels 2007). Total users in all countries: 2,850.
prq	300 (Mihas 2014). Ethnic population: 5,500 (2001 SIL).
sjp	1,220,000 (2001 census).
anq	250 (Abbi 2006).
anr	100,000 (2007). Ethnic population: 420,000 (2007).
tzx	2,080 (2003 SIL).
ans	No known L1 speakers.
sjw	320 (2010 census), decreasing. Ethnic population: 11,500 (Golla 2007). 2,000 members of the Absentee Shawnee Tribe around Shawnee town (more than 100 speakers); 1,500 members of Eastern Shawnee Tribe in Ottawa County (a few elderly speakers). 8,000 members of the Loyal Shawnee in Cherokee region of Oklahoma around Whiteoak (fewer than 12 speakers) (Golla 2007).
tza	278,000 (2008 WFD). 278,000 deaf signers (2008 WFD).
tzh	273,000 (2000 INALI). 50,000 monolinguals.
tzj	83,800 (1990 SIL), increasing. 17,000 monolinguals.
tzm	2,340,000 (2004 census). 936,000 monolinguals. Total users in all countries: 2,490,000.
tzo	235,000 (2000 INALI).
tzn	1,200 (1990 SIL). 10 monolinguals.
dho	169,000 (2001 census).
dhn	139,000 (2001 census).
dhm	18,000 (2011). Total users in all countries: 30,000.
dhl	6 (2008 AUSTLANG).
dhi	20,430 in Nepal, all users. 19,300 (2011 census), decreasing. 1,130 (2011 census). Ethnic population: 26,300 (2011 census). Total users in all countries: 20,880 (as L1: 19,750; as L2: 1,130).
dhg	270 (2006 census). 58 Djangu, 170 Gaalpu, 44 Wangurri (2006 census).
dhd	1,870,000 (2001 census).
any	620,000 in Côte d’Ivoire, all users. L1 users: 610,000 (1993 SIL). L2 users: 10,000. Total users in all countries: 686,400 (as L1: 676,400; as L2: 10,000).
dhx	No known L1 speakers.
dhw	48,650, all users. 45,800 (2011 census), decreasing. 2,850 (2011 census). No monolinguals (Toba et al 2005). Ethnic population: 84,100 (2011 census).
dhv	13,000 (2009), increasing. 60% live in greater Nouméa. Population figure adapted from 2009 census figure of 15,586 includes many second language speakers.
dhu	No known L1 speakers.
dhs	5,000 (1999).
dhr	1 (Wurm 2007).
sjo	30,000 (2000 A. Jun). Few monolinguals. Ethnic population: 189,000 (2000 census).
sjl	6,500 (2001).
jku	500 (2008 E. Hannelova et al.), decreasing. Ethnic population: 13,000.
sjm	43,000 (2011 SIL). 4,000 monolinguals. Ethnic population: 43,000. Total users in all countries: 58,000.
jkp	5,300 (1983 census).
jkr	1,500 (2011).
jkm	4,000 (2010 SIL). Also live mixed with Bwe Karen [bwe] and Paku Karen [jkp] in some villages.
jko	1,000.
jka	5,500 (2014 M. Kramer).
sja	3,500 (2004 IMB), increasing. Total users in all countries: 4,010.
sjg	23,500 (1993 census).
sjd	350 (2010 census). Census includes Skolt Saami [sms] and Ter Saami [sjt]. Ethnic population: 1,770 (2010 census). Number includes all Saami.
hah	1,300 (1977 P. Lincoln).
bnz	450 (2001 SIL).
bny	4,200 (Wurm and Hattori 1981).
bnx	171,000 (1995 SIL). 85,000 Bangubangu, 30,000 Mikebwe, 20,000 Kasenga, 32,000 Nonda, 4,000 Hombo.
hal	13,500 (2000). Total users in all countries: 17,500.
ham	2,150 (1986 SIL). 290 in Yoliapi (1982 SIL). 1,600 monolinguals.
han	150,000 (1987).
hao	5,000 (1982 SIL), increasing.
bns	3,070,000 (2001 census). Population estimates range up to 20,000,000.
bnr	520 (1983 SIL).
bnq	3,000 (Utsumi 2001), decreasing.
hac	180,000 (Paul 2007). Population provisionally estimated to be two-thirds of the 300,000 speakers in Iran and Iraq (2007 L. Paul). Total users in all countries: 300,000.
had	16,000 (1993 TEAM).
hae	4,530,000 (1994). 25,500,000 all Oromo speakers in Ethiopia (2007 census).
haf	
hag	6,800 (2003 GILLBT), increasing. 4,100 in the traditional area, 2,700 elsewhere.
hax	7 (FPCC 2014). 6 semi-speakers (FPCC 2014). L2 users: 0. Ethnic population: 500 (Golla 2007).
bnj	1,130 (2002 UNSD).
haz	1,770,000 (2000). Total users in all countries: 2,295,000.
bno	75,000 (2011 Governor’s Office, Romblon Province), decreasing. 500 monolinguals. Ethnic population: 75,000.
bnn	38,000 (CIP-EY 2002). Ethnic population: 38,000.
bnm	9,000 (Johnstone and Mandryk 2001), decreasing. Very few monolinguals. Total users in all countries: 15,000.
bnl	59 (2000).
hap	3,000 (1982 WT).
haq	990,000 (Johnstone and Mandryk 2001). Many monolinguals.
har	33,570, all users. L1 users: 25,800 (2010 UNSD). 20,000 in Addis Ababa, outside Harar City (Hetzron 1997). L2 users: 7,770. 2,350 monolinguals.
has	240 (FPCC 2014). 21 semi-speakers (FPCC 2014). Ethnic population: 1,680 (FPCC 2014).
bng	3,900 (2011 S. Smith), decreasing. 400 on Corisco Island. No monolinguals. Total users in all countries: 5,400.
bnf	1,000 (1989 SIL).
hav	506,000 (2002).
haw	2,000 (Wurm 2007). 500 with Ni’ihau Island connections, another 500 in their 70s or 80s (1995 L. Wong). 8,000 can speak and understand it (1993 K. Haugen). In 1900 there were 37,000 L1 speakers (1995 Honolulu Advertiser). 2000 census lists 27,200. Ethnic population: 336,000. 237,000 in Hawaii (1996 Hawaii State Department of Health), 19% of the population (1990 Hawaii State Department of Health), and 99,000 ethnic Hawaiians on the United States mainland (1990 census), including 24,300 in California. Ethnic Hawaiians include 8,300 pure Hawaiian, 72,800 between 50% and 99% Hawaiian, 127,500 fewer than 50% Hawaiian in Hawaii (1984 Office of Hawaiian Affairs). In 1778 there were believed to have been more than 500,000 pure Hawaiians (1995 W. Harada).
ola	1,170 (2011 census), decreasing. Mostly in original area. High language loss among those who have left the language area. Ethnic population: 1,150 (2011 census).
old	597,000 (2000).
ole	500 (Van Driem 2007).
olk	5 (2006 AUSTLANG).
olm	
olo	25,600 (2010 census). Census includes Karelian[krl] and Ludian [lud]. Ethnic population: 65,000. Total users in all countries: 30,770.
olr	5 (2008).
olu	70,000 (2015 L. Jordan).
umu	7 (Kinkade 1991). Ethnic population: 400 (Kinkade 1991).
ump	12 (2005 AUSTLANG).
for	17,000 (1991 SIL).
fos	No known L1 speakers.
fod	24,500 (2002 SIL). Total users in all countries: 25,500.
umd	No known L1 speakers.
umg	No known L1 speakers.
uma	25 (Golla 2007). 25–50 Umatilla and Walla Walla [waa] speakers together. Ethnic population: 120 (1977 SIL).
umb	6,000,000 (2012 World Factbook).
umm	20,000 (1995).
fom	13,000 (2002).
fon	1,190,000 (2014 J. Leclerc). Total users in all countries: 1,225,500.
umn	4,000 (2008 SIL).
umi	120 (Wurm and Hattori 1981).
foi	2,800 (1980 UBS).
mbl	1,270 (2006 FUNASA).
mbm	20,000 (2014 J. Leclerc).
mbn	300 (Civallero 2008). Most are monolingual. Ethnic population: 540 (Crevels 2007).
mbo	45,000 (Ewané Etamé 1995).
mbh	2,500 (1998 SIL).
mbi	14,600 (2000). Few monolinguals.
mbj	400 (Moore 2006). Deb, a separate ethnic group from the Nadëb, now reclaiming their identity by using Nadëb. 280 Deb (2008 M. Rodriquez), 580 Nadëb (2009 FUNASA). Ethnic population: 850 (2010 S. Anonby).
mbk	3,330.
mbd	10,000 (1978 SIL).
mbe	No known L1 speakers. Last speaker died in 1958 (Golla 2007).
mbf	10,000 (Pakir 1986). Ethnic population: 250,000 (1986). Total users in all countries: 12,000.
soj	7,030 (2000).
som	7,820,000 (2015). Total users in all countries: 16,492,000 (as L1: 16,396,400; as L2: 95,600).
mba	30,000 (1996 NTM).
mbb	15,000 (2008 SIL). Ethnic population: 15,000.
mbc	16,500 (Moore 2006). Ethnic population: 23,400 (2001 FUNASA). Total users in all countries: 18,030.
soq	2,200 (1998 SIL).
sop	1,000,000 (Hoffman 1991). 150,000 in Western Kalebwe (1982 UBS).
sos	16,000 (2009 UNSD).
sor	7,410 (1993 census).
mbx	80 (Wurm 2000).
mby	
mbz	5,630 (2000 INALI). 500 monolinguals (2005 census). Ethnic population: 12,000.
sov	360 (2007 R. Dongosaro). About 60 on the outer islands (Sonsoral 30, Pulo Anna 10, Merir 3) and 300 in Koror town, Echang village.
mbt	50,000 (2010 SIL), increasing. 5,000 monolinguals.
mbu	100,000 (2012 M. Rueck, Z. Yoder, and K. Hannelová).
mbv	5,000 (1998 B. Willits).
mbw	11,000 (1998 SIL).
mbp	1,850 (Crevels 2007). Ethnic population: 1,850 (Crevels 2007).
mbq	2,610 (2000 census). 600 in Kosirava dialect.
mbr	700 (2010 A. Gonzalez). 400 monolinguals.
mbs	58,000 (2000 census).
azj	8,250,000 (2011 UNSD). 4,000,000 monolinguals. Total users in all countries: 9,227,260.
azm	2,030 (2011 UNSD). 20 monolinguals (2000 census).
azn	900 (2011 SIL).
azo	19,000 (2001 SIL).
aza	53,000 (2007 J. Pelkey).
azb	11,100,000 (2015 M. Izady). Ethnic population: 18,700,000. Total users in all countries: 13,973,280.
azd	400 (2011 SIL).
aze	23,200,540 A macrolanguage. Population total all languages: 23,200,540
azg	5,200 (2011 UNSD).
azz	125,000 (1983). All Nahuatl variety speakers: 1,740,000.
azt	300 (Wurm 2000). Ethnic population: 600.
khx	3,500 (Welmers 1971a).
khy	160,000 (1980 UBS).
khz	19,400 (2000 D. Tryon).
khp	200 (2006 SIL).
khq	200,000 (1999 SIL), increasing.
khr	240,000 (2001 census). Total users in all countries: 240,240.
khs	600 (1990 SIL).
kht	8,000 (2000). Total users in all countries: 13,000.
khu	150,000 (1996 UBS).
khv	1,740 (2010 census). 1,000 Inxokvari speakers (Salminen 2007). Ethnic population: 4,000 (2014 NCRP).
khw	270,000 (2004 J. Leclerc). Total users in all countries: 289,200.
khh	200 (2007 SIL).
khj	10,500 (2000).
khk	2,600,000 (2012). 32,300 Dariganga, 20,400 Darkhat. Total users in all countries: 2,626,590.
khl	2,000 (1994 SIL).
khm	17,390,040 16,000,000 in Cambodia, all users. 15,000,000 (2015). 1,000,000. Total users in all countries: 17,390,040 (as L1: 16,390,040; as L2: 1,000,000).
khn	21,900 (2001 census).
kha	843,000 (2001 census).
khb	280,000 (2000 census). 140,000 monolinguals. Total users in all countries: 550,960.
khc	120,000 (1995 SIL). 60,000 in Maluku.
khd	10 (1996 M. Donohue).
khe	3,500 (2007 P. de Vries). 3,000 monolinguals.
khf	8,000 (1995 L. Chazee). Total users in all countries: 9,000.
khg	1,380,000 (1994). 996,000 Eastern, 135,000 Southern, 158,000 Western, 91,000 Northern. Total users in all countries: 1,380,300.
xkj	
xkk	3,370 (2007).
xki	340,000 (2007 DOOR), increasing. Another estimate: 600,000 (over 1% of general population, Wilson and Kakiri 2011).
xkn	2,000 (Wurm and Hattori 1981).
xko	2,360 (1985 F. Proschan).
xkl	12,000 (2007 A. Soriente), decreasing. No monolinguals. Total users in all countries: 52,000.
xkb	30,000 (2002 SIL). All Nago: 459,000 (2014 J. Leclerc). Total users in all countries: 70,000.
xkc	
xka	5,100 (2004 J. Leclerc).
xkf	65,000, all users. 50,000 (2003 SIL). 15,000. 30,000 monolinguals.
xkg	15,000 (2001 V. Vydrin). Ethnic population: 30,000 (2001 V. Vydrin).
xkd	1,500 (Wurm and Hattori 1981).
xke	500 (2003).
xkz	15,000 (2011 SIL).
xkx	550 (2003 SIL). Ethnic population: 930 (2000 census).
xky	1,250 (Wurm and Hattori 1981). Total users in all countries: 2,750.
xkr	No known L1 speakers. Ethnic population: 6,000 (Crevels 2007).
xks	3,400 (2004 SIL).
xkp	
xkq	500 (Mead 1999).
xkv	65,400 (2015 UNSD).
xkw	20 (Wurm 2000). Ethnic population: 50.
xkt	2,300 (2003 GILLBT). 280–400 in Sandema District, probably about 280 in Kpaliwongo.
xku	1,500 (2007 census).
nxu	
nxq	300,000 (2000 census). 100,000 monolinguals. Ethnic population: 300,000.
nxr	5,150 (2000 census). 2,060 monolinguals. Total users in all countries: 6,150.
nxx	1,630 (1975 SIL).
nxe	50,000 (Forth 1993).
nxd	220,000 (1995).
nxg	60,000 (1995).
nxa	15,000 (2010 census).
