Amis	ami	amis1246
Amkoe	huc	hoaa1235
Amo	amo	amoo1242
Amoltepec Mixtec	mbz	amol1236
Ampanang	apg	ampa1239
Ampari Dogon	aqd	ampa1238
Amri Karbi	ajz	amri1238
Amto	amt	amto1250
Amundava	adw	amun1246
Amurdak	amg	amar1271
Amur Nivkh	niv	gily1242
Anaang	anw	anaa1238
Anakalangu	akg	anak1240
Anal	anm	anal1239
Anam	pda	anam1247
Anambé	aan	anam1249
Anamuxra	imi	anam1248
Anasi	bpo	anas1239
Ana Tinga Dogon	dti	anat1248
Áncá	acb	anca1236
Ancient Greek	grc	anci1242
Ancient Hebrew	hbo	anci1244
Ancient Ligurian	xlg	anci1248
Ancient North Arabian	xna	anci1245
Andai	afd	anda1283
Andalusian Arabic	xaa	anda1287
Andaman Creole Hindi	hca	anda1280
Andaqui	ana	anda1286
Andarum	aod	anda1284
Andegerebinha	adg	ande1247
Andh	anr	andh1242
Andi	ani	andi1255
Andio	bzb	andi1257
Andoa	anb	ando1255
Andoque	ano	ando1256
Andra-Hus	anx	andr1248
Aneityum	aty	anei1239
Anem	anz	anem1249
Aneme Wake	aby	anem1248
Anfillo	myo	anfi1235
Angaataha	agm	anga1290
Angaité	aqt	anga1316
Angal	age	anga1293
Angal Enen	aoe	anga1294
Angal Heneng	akh	anga1292
Angami Naga	njm	anga1288
Angguruk Yali	yli	angg1239
Angika	anp	angi1238
Angkamuthi	avm	angg1238
Angolar	aoa	ango1258
Angor	agg	ango1254
Angoram	aog	ango1255
Angosturas Tunebo	tnd	ango1257
Anguthimri	awg	angu1242
//Ani	hnh	anii1246
Anii	blo	anii1245
Animere	anf	anim1239
Anindilyakwa	aoi	anin1240
Ani Phowa	ypn	anip1235
Anjam	boj	anja1238
Ankave	aak	anka1246
Anmatyerre	amx	anma1239
Annobonese	fab	fada1250
Anor	anj	anor1241
Anserma	ans	anse1238
Ansus	and	ansu1237
Antakarinya	ant	anta1253
Anta-Komnzo-Wára-Wérè-Kémä	tci	wara1294
Antankarana Malagasy	xmv	anta1255
Antigua and Barbuda Creole English	aig	anti1245
Anuak	anu	anua1242
Anufo	cko	anuf1239
Anu-Hkongso	anl	anuu1241
Anuki	aui	anuk1239
Anus	auq	anus1237
Anuta	aud	anut1237
Anyin	any	anyi1245
Anyin Morofo	mtb	anyi1244
Aoheng-Seputan	pni	aohe1237
Ao Naga	njo	aona1235
Aore	aor	aore1237
A'ou	aou	aoua1234
Apalachee	xap	apal1237
Apalaí	apy	apal1257
Apali	ena	apal1256
Apalik	apo	apal1255
Apasco-Apoala Mixtec	mip	apas1235
Apatani	apt	apat1240
Apiaká	api	apia1248
Apinayé	apn	apin1244
Apma	app	apma1240
Ap Ma	kbx	apma1241
Aproumu Aizi	ahp	apro1235
Apucikwar	apq	apuc1241
Apurinã	apu	apur1254
Aputai	apx	aput1237
Arabana	ard	arab1267
Arabela	arl	arab1268
Aragonese	arg	arag1245
Arakanese	mhv	arak1256
Araki	akr	arak1252
Arakwal	rkw	arak1254
Aralle-Tabulahan	atq	aral1243
Aramanik	aam	aram1252
Arammba	stk	aram1253
Aranadan	aaf	aran1261
Aranama	xrt	aran1265
Araona	aro	arao1248
Arapaho	arp	arap1274
Arapaso	arj	arap1275
Araweté	awt	araw1273
Arawum	awm	araw1272
Arbëreshë Albanian	aae	arbe1236
Arbore	arv	arbo1245
Archaic Angloromani	rme	angl1239
Archi	aqc	arch1244
'Are'are	alu	area1240
Areba	aea	areb1238
Arem	aem	arem1240
Arequipa-La Unión Quechua	qxu	areq1237
Argentine Sign Language	aed	arge1236
Argobba	agj	argo1244
Arguni	agf	argu1237
Arhâ	aqr	arha1237
Arhö	aok	arho1237
Arhuaco	arh	arhu1242
Ari	aac	arii1243
Aribwatsa	laz	arib1241
Aribwaung	ylu	arib1240
Arifama-Miniafia	aai	arif1239
Arigidi	aqg	arig1246
Arikapú	ark	arik1265
Arikara	ari	arik1262
Arikem	ait	arik1264
Arin	xrn	arin1243
Aringa	luc	arin1244
Aritinngitigh	dth	arit1239
Arma	aoh	arma1244
Armenian Sign Language	aen	arme1259
Aro	tei	torr1259
Aromanian	rup	arom1237
Arop-Lokep	apr	arop1243
Arop-Sissano	aps	arop1242
Arosi	aia	aros1241
Arpitan	frp	fran1260
Arta	atz	arta1239
Aruá (Amazonas State)	aru	arua1263
Aruamu	msy	arua1260
Aruá (Rondonia State)	arx	arua1261
Aruek	aur	arue1240
Arutani	atx	arut1244
Arvanitika Albanian	aat	arva1236
Asabano	seo	suar1238
Asaro'o	mtv	asar1240
Asháninka	cni	asha1243
Ashe	ahs	ashe1269
Ashéninka Pajonal	cjo	ashe1273
Ashéninka Perené	prq	ashe1272
Ashkun	ask	ashk1246
Asho Chin	csh	asho1236
Ashtiani	atn	asht1244
Asilulu	asl	asil1242
Askopan	eiv	asko1238
Asoa	asv	asoa1238
Assamese	asm	assa1263
Assan	xss	assa1266
Assangori	sjg	assa1269
Assiniboine	asb	assi1247
Assyrian Neo-Aramaic	aii	assy1241
Asturian-Leonese-Cantabrian	ast	astu1245
Asue Awyu	psa	asue1235
Asumboa	aua	asum1237
Asunción Mixtepec Zapotec	zoo	asun1236
Asu (Nigeria)	aum	asun1235
Asuri	asr	asur1254
Asu (Tanzania)	asa	asut1235
Ata	atm	ataa1240
Atakapa	aqp	atak1252
Ata Manobo	atd	atam1240
Atampaya	amz	atam1239
Atatláhuca Mixtec	mib	atat1238
Atayal	tay	atay1247
Athpariya	aph	athp1241
Ati	atk	atii1237
Atikamekw	atj	atik1240
Atohwaim	aqm	atoh1238
Atong	ato	aton1242
Atong (India)	aot	aton1241
Atorada	aox	ator1244
Atsahuaca	atc	atsa1242
Atsam	cch	atsa1241
Atsugewi	atw	atsu1245
Attapady Kurumba	pkr	atta1243
Attié	ati	atti1239
Atuence	atf	atue1238
Atzingo Matlatzinca	ocu	atzi1235
Au	avt	auuu1241
'Auhelawa	kud	auhe1237
Aukan	djk	ndyu1242
Aulua	aul	aulu1238
Aurê y Aurá	aux	aura1243
Aushi	auh	aush1241
Aushiri	avs	aush1242
Auslan	asf	aust1271
Austral	aut	aust1304
Australian Aborigines Sign Language	asw	aust1253
Austrian Sign Language	asq	aust1252
Auvergnat	auv	auve1240
Auwe	smf	auwe1239
Auwon	aww	awun1245
Auye	auu	auye1238
Auyokawa	auo	auyo1240
Avá-Canoeiro	avv	avac1239
Avar	ava	avar1256
Avatime	avn	avat1244
Avau	avb	avau1237
Avava	tmb	katb1237
Avestan	ave	aves1237
Avikam	avi	avik1243
Avokaya	avu	avok1242
Awabakal	awk	awab1243
Awa-Cuaiquer	kwi	awac1239
Awad Bing	bcu	awad1244
Awadhi	awa	awad1243
Awak	awo	awak1250
Awa (Papua New Guinea)	awb	awap1236
Awar	aya	awar1249
Awara	awx	awar1248
Awbono	awh	awbo1238
Aweer	bob	awee1242
Awera	awr	awer1241
Awetí	awe	awet1244
Awing	azo	awin1248
Awiyaana	auy	awiy1238
Awjilah	auj	awji1241
Awngi	awn	awng1244
Awtuw	kmn	awtu1239
Awutu	afu	awut1241
Awyi	auw	awyi1241
Axamb	ahb	axam1237
Axi Yi	yix	axiy1235
Ayacucho Quechua	quy	ayac1239
Ayautla Mazatec	vmy	ayau1235
Ayere	aye	ayer1245
Ayi (China)	ayx	ayic1234
Ayi (Papua New Guinea)	ayq	ayip1235
Ayizi	yyz	ayiz1244
Ayizo Gbe	ayb	ayiz1245
Ayoquesco Zapotec	zaf	ayoq1235
Ayoreo	ayo	ayor1240
Ayu	ayu	ayuu1242
Ayutla Mixtec	miy	ayut1236
Azha	aza	azha1235
Azhe	yiz	azhe1235
Azoyú Me'phaa	tpc	azoy1236
Baa	kwb	kwaa1262
Baan	bvj	baan1241
Baangi	bqx	baan1242
Baatonum	bba	baat1238
Baba	bbw	baba1264
Babalia Creole Arabic	bbz	baba1273
Baba Malay	mbf	baba1267
Babango	bbm	baba1263
Babanki	bbk	baba1266
Babatana	baa	baba1268
Babuza	bzg	babu1240
Bacama	bcy	baca1246
Bacanese Malay	btj	baca1243
Bactrian	xbc	bact1239
Badaga	bfq	bada1257
Bada (Indonesia)	bhz	bada1261
Bada (Nigeria)	bau	bada1258
Bade	bde	bade1248
Badeshi	bdz	bade1240
Badimaya	bia	badi1246
Badui	bac	badu1237
Baeggu	bvd	baeg1237
Baelelea	bvc	bael1237
Baetora	btr	baet1237
Bafanji	bfj	bafa1249
Bafaw-Balong	bwt	bafa1247
Bafia	ksf	bafi1243
Bafut	bfd	bafu1246
Baga Kaloum	bqf	baga1271
Baga Koga	bgo	baga1273
Baga Manduri	bmd	baga1270
Baga Sitemu	bsp	baga1272
Baga Sobané	bsv	baga1274
Bagheli	bfy	bagh1251
Bagirmi	bmi	bagi1246
Bagirmi Fulfulde	fui	bagi1244
Bago-Kusuntu	bqg	bago1245
Bagri	bgq	bagr1243
Bagupi	bpi	bagu1252
Bagusa	bqb	bagu1251
Bagvalal	kva	bagv1239
Baha Buyang	yha	baha1256
Baham	bdw	baha1258
Bahamas Creole English	bah	baha1260
Baharna Arabic	abv	baha1259
Bahau	bhv	baha1257
Bahau River Kenyah	bwv	baha1262
Bahinemo	bjh	bahi1254
Bahing	bhj	bahi1252
Bahnar	bdq	bahn1262
Bahonsuai	bsu	baho1237
Bai	bdj	baii1251
Baibai	bbf	baib1251
Baikeno	bkx	baik1238
Baima	bqh	baim1244
Baimak	bmx	baim1245
Bainouk-Gunyaamolo-Gutobor	bcz	bain1261
Bainouk-Samik	bcb	bain1260
Bainounk-Gujaher	bab	bain1259
Baiso	bsw	bais1246
Baissa Fali	fah	bais1242
Bajan	bjs	baja1265
Bajelani	bjm	baje1238
Baka (Cameroon)	bkc	baka1272
Bakairí	bkq	baka1277
Bakaka	bqz	baka1273
Baka (Sudan)	bdh	baka1274
Bakhtiari	bqi	bakh1245
Baki	bki	baki1244
Bakoko	bkh	bako1249
Bakole	kme	bako1250
Bakpinka	bbs	bakp1238
Bakumpai	bkr	baku1263
Bakung Kenyah	boc	baku1265
Bakwé	bjw	bakw1243
Balaesang	bls	bala1314
Balangao	blw	bala1310
Balangingi	sse	bala1311
Balanta-Ganja	bjt	bala1302
Balantak	blz	bala1315
Balanta-Kentohe	ble	bala1301
Balau	blg	bala1306
Baldemu	bdn	bald1241
Bali (Democratic Republic of Congo)	bcp	bali1274
Balinese	ban	bali1278
Balinese Malay	mhp	bali1279
Bali (Nigeria)	bcn	bali1245
Balkan Romani	rmn	balk1252
Balo	bqo	balo1264
Balobo	lie	liki1240
Balti	bft	balt1258
Baltic Romani	rml	balt1257
Bamali	bbq	bama1251
Bambalang	bmo	bamb1265
Bambam	ptu	bamb1270
Bambara	bam	bamb1269
Bambassi	myf	bamb1262
Bambili-Bambui	baw	bamb1266
Bamenyam	bce	bame1260
Bamu	bcf	bamu1257
Bamukumbit	bqt	bamu1254
Bamun	bax	bamu1253
Bamunka	bvm	bamu1256
Bamwe	bmg	bamw1238
Bana	bcw	bana1305
Banao Itneg	bjx	bana1288
Banaro	byz	bana1292
Banawá	bnh	bana1306
Banda-Bambari	liy	band1344
Banda-Banda	bpd	band1343
Banda (Indonesia)	bnd	band1355
Banda Malay	bpq	band1353
Banda-Mbrès	bqk	band1342
Banda-Ndélé	bfl	band1345
Banda-Yangere	yaj	band1348
Bandi	bza	band1352
Bandial	bqj	band1340
Bandjigali	bjd	band1337
Bangad	ksc	sout2908
Bangala	bxg	bang1353
Bangba	bbe	bang1345
Banggai	bgz	bang1368
Banggarla	bjb	bang1339
Bangime	dba	bang1363
Bangka	mfb	bang1365
Bangladesh Lyngam	mef	mega1243
Bangolan	bgj	bang1356
Bangubangu	bnx	bang1350
Bangwinji	bsj	bang1348
Baniva de Maroa	gae	guar1293
Baniwa do Icana	bwi	bani1255
Banjar	bjn	banj1239
Bankagooma	bxw	bank1258
Bankan Tey Dogon	dbw	bank1259
Ban Khor Sign Language	bfk	bank1251
Bankon	abb	bank1256
Bannoni	bcm	bann1247
Bantawa	bap	bant1281
Bantayanon	bfx	bant1293
Bantik	bnq	bant1286
Bantoanon	bno	bant1288
Baoulé	bci	baou1238
Baraamu	brd	bara1357
Barabayiiga-Gisamjanga	tcc	dato1239
Barai	bbb	nucl1630
Barain	bva	bare1279
Barakai	baj	bara1367
Barama	bbg	bara1362
Bara Malagasy	bhr	bara1369
Barambu	brm	bara1361
Baram Kayan	kys	bara1370
Baramu	bmz	bara1378
Barapasi	brp	bara1375
Baras	brs	bara1371
Barasana-Eduria	bsn	bara1380
Barbacoas	bpb	barb1242
Barbareño	boi	barb1263
Barclayville Grebo	gry	barc1235
Bardi	bcj	bard1255
Baré	bae	bare1276
Bargam	mlp	barg1252
Bari	bfa	bari1284
Barí	mot	bari1297
Bariai	bch	bari1286
Bariji	bjc	bari1290
Barikanchi	bxo	bari1241
Barikewa	jbk	bari1298
Barok	bjk	baro1253
Barombi	bbi	baro1252
Barro Negro Tunebo	tbn	barr1251
Barrow Point	bpt	barr1247
Baruga	bjz	baru1269
Baruya	byr	baru1267
Barwe	bwg	barw1243
Barzani Jewish Neo-Aramaic	bjf	barz1241
Basa (Cameroon)	bas	basa1284
Basa-Gumna	bsl	basa1280
Basa-Gurmana	buj	basa1281
Basa (Nigeria)	bzw	basa1282
Basap	bdb	basa1286
Basay	byq	basa1287
Bashkardi	bsg	bash1263
Bashkir	bak	bash1264
Basketo	bst	bask1236
Basque	eus	basq1248
Bassa	bsq	nucl1418
Bassa-Kontagora	bsr	bass1259
Bassari-Tanda	bsc	bass1258
Bassossi	bsi	bass1260
Bata	bta	bata1314
Bataan Ayta	ayt	bata1297
Batad Ifugao	ifb	bata1298
Batak	bya	bata1301
Batak Alas-Kluet	btz	bata1292
Batak Angkola	akb	bata1290
Batak Dairi	btd	bata1294
Batak Karo	btx	bata1293
Batak Mandailing	btm	bata1291
Batak Simalungun	bts	bata1288
Batak Toba	bbc	bata1289
Batanga	bnm	bata1285
Batek	btq	bate1262
Bateri	btv	bate1261
Bathari	bhm	bath1244
Bati (Cameroon)	btc	bati1251
Bati (Indonesia)	bvt	bati1253
Bats	bbl	bats1242
Batu	btu	batu1255
Batui	zbt	batu1260
Batuley	bay	batu1258
Bau	bbd	bauu1244
Bauchi	bsf	bauc1238
Bau-Jagoi Bidayuh	sne	baub1235
Bauni	wra	wara1302
Baure	brg	baur1253
Bauria	bge	baur1251
Bauro	bxa	baur1252
Bauwaki	bwk	bauw1240
Bauzi	bvz	bauz1241
Bavarian	bar	bava1246
Bawm Chin	bgr	bawm1236
Bayali	bjy	baya1257
Baybayanon	bvy	bayb1234
Baygo	byg	bayg1239
Bay Miwok	mkq	baym1241
Bayono	byl	bayo1260
Bayungu	bxj	bayu1240
Bazigar	bfr	bazi1237
Beami	beo	beam1240
Beaver	bea	beav1236
Beba	bfp	beba1238
Bebe	bzv	bebe1250
Bebele	beb	bebe1248
Bebeli	bek	bebe1252
Bebil	bxp	bebi1242
Bedik	tnr	bedi1235
Bedoanas	bed	bedo1237
Beeke	bkf	beek1238
Beele	bxq	beel1236
Beembe	beq	beem1239
Beezen	bnz	beez1238
Befang	bby	befa1241
Begbere-Ejar	bqv	begb1241
Beja	bej	beja1238
Bekwarra	bkv	bekw1241
Bekwil	bkw	bekw1242
Belanda Bor	bxb	bela1256
Belanda Viri	bvi	bela1255
Belarusian	bel	bela1254
Belep	yly	nyal1254
Belgian Sign Language	bvs	belg1241
Belhariya	byw	belh1239
Beli (Papua New Guinea)	bey	beli1258
Beli (Sudan)	blm	beli1257
Belize Kriol English	bzj	beli1260
Bella Coola	blc	bell1243
Bellari	brw	bell1261
Bemba (Democratic Republic of Congo)	bmy	bemb1258
Bemba (Zambia)	bem	bemb1257
Bembe	bmb	bemb1255
Benabena	bef	bena1264
Bena (Nigeria)	yun	bena1260
Bena (Tanzania)	bez	bena1262
Bench	bcq	benc1235
Bende	bdp	bend1258
Bendi	bct	bend1260
Beng	nhb	beng1286
Benga	bng	beng1282
Bengali	ben	beng1280
Benggoi	bgy	beng1287
Bengkulu	bke	beng1290
Ben Tey Dogon	dbt	bent1238
Bentong	bnu	bent1237
Benyadu'	byd	beny1237
Beothuk	bue	beot1247
Bepour	bie	bepo1240
Bera	brf	bera1259
Berakou	bxv	bera1261
Berau Malay	bve	bera1262
Berbice Creole Dutch	brc	berb1259
Beria	zag	zagh1240
Berik	bkl	beri1254
Berinomo	bit	beri1253
Berom	bom	bero1242
Berta	wti	bert1248
Berti	byt	bert1249
Besisi	mhe	besi1244
Besme	bes	besm1235
Besoa	bep	beso1237
Betaf	bfe	beta1253
Betawi	bew	beta1252
Bete-Bendi	btt	bete1262
Bete (Yukubenic)	byf	bete1261
Beti (Cameroon)	btb	beti1250
Beti (Côte d'Ivoire)	eot	beti1248
Betta Kurumba	xub	bett1235
Bezhta	kap	bezh1248
Bhadrawahi	bhd	bhad1241
Bhalay	bhx	bhal1245
Bharia	bha	bhar1241
Bhatola	btl	bhat1237
Bhatri	bgw	bhat1265
Bhattiyali	bht	bhat1263
Bhaya	bhe	bhay1238
Bhele	bhy	bhel1238
Bhilali	bhi	bhil1253
Bhili	bhb	bhil1251
Bhojpuri	bho	bhoj1244
Bhoti Kinnauri	nes	bhot1235
Bhunjia	bhu	bhun1242
Biafada	bif	biaf1240
Biage	bdf	biag1234
Biak	bhw	biak1248
Biali	beh	bial1238
Biangai	big	bian1252
Bian Marind	bpv	bian1251
Biao-Jiao Mien	bje	biao1254
Biao Mon	bmt	biao1256
Biatah Bidayuh	bth	biat1246
Bidiyo	bid	bidi1241
Bidyara	bym	bidy1243
Biem	bmc	biem1237
Bierebo	bnk	bier1244
Bieria	brj	bier1246
Biete	biu	biet1238
Biga	bhc	biga1238
Bigambal	xbe	biga1237
Big Nambas	nmb	bign1238
Bih	ibh	biha1246
Bijori	bix	bijo1238
Bikaru-Bragge	bic	bika1251
Bikya	byb	biky1238
Bila	bip	bila1255
Bilakura	bql	bila1257
Bilaspuri	kfs	bila1253
Bilba	bpz	bilb1242
Bile	bil	bile1244
Bilibil	brz	bilb1241
Bilin	byn	bili1260
Bilma Kanuri	bms	bilm1238
Biloxi	bll	bilo1248
Bilua	blb	bilu1245
Bilur	bxf	bilu1244
Bima	bhp	bima1247
Bimin	bhl	bimi1240
Bimoba	bim	bimo1239
Binahari-Neme	bxz	bina1275
Binandere	bhg	bina1277
Bina (Nigeria)	byj	bina1270
Bina (Papua New Guinea)	bmn	bina1271
Bine	bon	bine1240
Bini	bin	bini1246
Bininj Kun-Wok	gup	gunw1252
Binji	bpj	binj1249
Binongan Itneg	itb	bino1237
Bintauna	bne	bint1245
Bintulu	bny	bint1246
Binumarien	bjr	binu1245
Bipi	biq	bipi1237
Birao	brr	bira1254
Birgit	btf	birg1239
Birhor	biy	birh1242
Biri	bzr	biri1256
Biritai	bqq	biri1259
Birked	brk	birk1242
Birrdhawal	ihw	gana1268
Birri	bvq	birr1240
Birwa	brl	birw1238
Biseni	ije	bise1238
Bishnupriya Manipuri	bpy	bish1244
Bishuo	bwh	bish1246
Bisis	bnw	bisi1244
Bislama	bis	bisl1239
Bisorio	bir	biso1243
Bissa	bib	biss1248
Bisu	bzi	bisu1244
Bisu (Retired)	bii	bisu1247
Bit	bgk	bitt1240
Bitare	brt	bita1251
Bitur	mcc	bitu1242
Biwat	bwm	biwa1243
Biyo	byo	biyo1243
Biyom	bpm	biyo1244
Blablanga	blp	blab1237
Blagar	beu	blag1240
Blang	blr	blan1242
Blissymbols	zbl	blis1239
Boano (Maluku)	bzn	boan1242
Boano (Sulawesi)	bzl	boan1243
Bobangi	bni	bang1354
Bobongko	bgb	bobo1255
Bobot	bty	bobo1254
Bodo (Central African Republic)	boy	bodo1272
Bodo Gadaba	gbj	bodo1267
Bodo-Mech	brx	bodo1269
Bodo Parja	bdv	bodo1266
Bofi	bff	bofi1238
Boga	bvw	boga1251
Bogaya	boq	boga1247
Boghom	bux	bogh1241
Boguru	bqu	bogu1241
Boikin	bzf	boik1241
Bokha	ybk	bokh1237
Bokobaru	bus	boko1267
Boko (Benin)	bqc	boko1266
Boko (Democratic Republic of Congo)	bkp	boko1263
Bokoto	bdt	boko1261
Bokyi	bky	boky1238
Bola	bnp	bola1250
Bolango	bld	bola1252
Bole	bol	nucl1695
Bolgarian	xbo	bolg1250
Bolgo	bvo	bolg1251
Bolia	bli	boli1255
Bolinao	smk	boli1256
Bolivar-North Chimborazo Highland Quichua	qug	chim1302
Bolivian Sign Language	bvl	boli1236
Boloki	bkt	bolo1262
Bolon	bof	bolo1266
Bolondo	bzm	bolo1263
Bolongan	blj	bolo1268
Bolyu	ply	boly1239
Boma	boh	boma1246
Bomboli	bml	bomb1261
Bomboma	bws	bomb1262
Bomitaba	zmx	bomi1238
Bom-Kim	bmf	bomk1234
Bomu	bmq	bomu1247
Bomwali	bmw	bomw1238
Bonan	peh	bona1250
Bondei	bou	bond1247
Bondo	bfw	bond1245
Bondoukou Kulango	kzc	bond1246
