ISO 639-3	Population	Name
fiw	300 (Wurm and Hattori 1981).	Fiwaga
fit	30,000 (Parkvall 2009). Total users in all countries: 60,000.	Finnish, Tornedalen
fia	295,000 (1996). Total users in all countries: 669,000.	Nobiin
fie	26,100 (2000).	Fyer
fij	650,000 in Fiji, all users. 330,000 (1996 census). 10,000 in Kadavu (1,500 Nabukelevu), 20,000 in Northeast Viti Levu. 320,000 (1991 UBS). Total users in all countries: 659,210 (as L1: 339,210; as L2: 320,000).	Fijian
fin	5,685,380 5,100,000 (European Commission 2012). 30,000 speakers of Tornedalen Finnish. Total users in all countries: 5,685,380 (as L1: 5,413,380; as L2: 272,000).	Finnish
fil	45,000,000 (2013), L2 users.	Filipino
mdj	620,000.	Mangbetu
mdk	15,000 (1991 SIL). 1,200 Andinai.	Mangbutu
mdh	1,100,000 (2010 SIL).	Maguindanaon
mdi	60,000 (1991 SIL).	Mamvu
mdn	60,000 (2010 census).	Mbati
mdl	200 (2014 Malta Deaf People Association). 200 signers out of 1,000 deaf and hard-of-hearing (2014 Malta Deaf People Association). 2,000 (2014 IMB).	Maltese Sign Language
mdm	100,000 (1991 SIL).	Mayogo
mdb	700 (Wurm 1975).	Morigi
mdc	970 (2000 census).	Male
mda	100,000 (1993 SIL).	Mada
mdf	2,030 (2010 census). Ethnic population: 4,770 (2010 census).	Moksha
mdg	10 (1991 R. Blench). Ethnic population: 29,800 (1993 census).	Massalat
mdd	38,600 (1982 SIL). Total users in all countries: 51,100.	Mbum
mde	296,000 (2006 E. Zürcher), decreasing. Very few monolinguals.	Maba
mdz	260 (2006 FUNASA).	Suruí do Pará
mdx	35,950, all users. L1 users: 33,900 (2010 UNSD), increasing. L2 users: 2,050. 17,600 monolinguals.	Dizin
mdy	101,430, all users. L1 users: 94,700 (2010 UNSD). L2 users: 6,730. 40,500 monolinguals.	Male
mdr	475,000 (2000 census).	Mandar
mds	1,350 (2000 census).	Maria
mdp	200,000 (Nida 1972).	Mbala
mdq	100,000 (Welmers 1971a).	Mbole
mdv	5,330 (2000 INALI). 480 monolinguals. Mostly in Agua del Toro and Ocotlán. Ethnic population: 6,000 (1995 census).	Mixtec, Santa Lucía Monteverde
mdw	161,000 (2014 J. Leclerc).	Mbosi
mdt	90,000 (2014 J. Leclerc). Total users in all countries: 135,500.	Mbere
mdu	40,000 (2014 J. Leclerc).	Mboko
smz	3,000 (2007 SIL). 2,000 Koopei and 1,000 Mainoki.	Simeku
smy	60,000 (2007).	Semnani
smx	4,200 (2002).	Samba
smw	300,000 (1989).	Sumbawa
smv		Samvedi
smu	4,100 (2005 J. Ironside).	Somray
smt	10,200 (2001 census).	Simte
sms	300 (Salminen 2007). 1,830 all Saami in Finland (2010 census). Ethnic population: 500 (1995 M. Krauss). Total users in all countries: 650.	Saami, Skolt
smr	30,000.	Simeulue
smq	900 (2001 SIL).	Samo
dsq	100,000 (2007 M. Almaki), increasing. 70,000 youth are monolingual. Total users in all countries: 101,800.	Tadaksahak
dsn	No known L1 speakers. There were 6 elderly speakers in 1978 (Wurm 2007).	Dusner
dso	50,000 (2003 Asha Kiran Society).	Desiya
dsl	5,000 (2007). 24,500 (2014 IMB).	Danish Sign Language
sml	90,000 (2000). 30,000 monolinguals. Ethnic population: 105,000. Total users in all countries: 105,000.	Sama, Central
smk	56,200, all users. 51,200 (2007 census), decreasing. 5,000. 510 monolinguals. Ethnic population: 104,000.	Bolinao
smj	1,500 (Krauss 1992). 1,000–2,000 speakers in Norway and Sweden (Salminen 2007). Ethnic population: 6,000. Total users in all countries: 2,000.	Saami, Lule
dsh	48,230 in Ethiopia, all users. L1 users: 48,000 (2010 UNSD). L2 users: 230. 31,400 monolinguals. Total users in all countries: 60,730 (as L1: 60,500; as L2: 230).	Daasanach
dsi	2,370 (2000).	Disa
smg	450 (2012 SIL).	Simbali
smf	410 (2003 SIL).	Auwe
sme	20,000 (Laakso et al 2013). Ethnic population: 30,000 (1995 M. Krauss). Total users in all countries: 25,700.	Saami, North
dse	13,000 in Netherlands, all users. 7,500 (2014 EUD). Population estimates vary widely, in part because they count different things: 7,500 sign language users (2014 EUD). 10,000–13,000 deaf or severely hard of hearing (Dovenschap brochure). 16,000 sign language users, deaf and hearing (Crasborn 2001). 45,000 deaf, 495,000 hard of hearing (2005 National Hearing Foundation). 86,500 deaf (2014 IMB). 5,500 (1997 Commissie Nederlandse Gebarentaal). Total users in all countries: 13,000 (as L1: 7,500; as L2: 5,500).	Sign Language of the Netherlands
dsb	6,670 (Salminen 2007). 20,000–30,000 total Sorbian, one-third in lower Lusatia, two-thirds in upper Lusatia (Salminen 2007). Ethnic population: 50,000.	Sorbian, Lower
smb	3,040 (1990 census).	Simbari
sma	300 (Krauss 1992). Ethnic population: 600. Total users in all countries: 600.	Saami, South
syo	860 (Bradley 2007b), decreasing.	Su’ung
syn	60 (1997 H. Mutzafi).	Senaya
ian	8,440 (2003 SIL).	Iatmul
dgl	70,000 (2014 M. Jaeger).	Andaandi
atg	20,000 (1973 SIL).	Ivbie North-Okpela-Arhe
atd	26,700 (2000 census).	Manobo, Ata
ate	8 (Daniels 2015).	Mand
atb	80,000 (1999 X. Xijian). 20,000 monolinguals. Total users in all countries: 110,000.	Zaiwa
ata	2,000 (2007 SIL).	Pele-Ata
atn	21,100 (2000).	Ashtiani
ato	4,200 (2000 SIL).	Atong
atl	150 (Wurm 2000). Ethnic population: 380.	Agta, Mt. Iraya
atm	2 (Wurm 2000). In 1973, only a few families of speakers were reported. Probably extinct (Wurm 2007).	Ata
atj	5,920 (2011 census).	Atikamekw
atk	1,500 (1980 SIL).	Ati
ati	381,000 (1993 SIL). 34,000 live in Abidjan.	Attié
atv	57,400 (2010 census). 2,000 Tuba, several thousand Kumandy, 2,000 Chalkan (Salminen 2007). Census includes Southern Altai [alt]. Ethnic population: 74,200 (2010 census). Includes Southern Altai [alt].	Altai, Northern
atw	No known L1 speakers. Ethnic population: 200 (1977 SIL).	Atsugewi
att	1,000 (1998 SIL). Ethnic population: 1,000.	Atta, Pamplona
atu	50,000 (1998). The Kuek and Jikeyi have many monolinguals and are regarded as having the purest form of the language (SIL).	Reel
atr	930 (2001 ISA). Ethnic population: 930 (Moore 2006).	Waimiri-Atroarí
ats	10 (Golla 2007), decreasing. No fully fluent speakers (Golla 2007). Ethnic population: 1,000 (Golla 2007).	Gros Ventre
atp	710 (2000).	Atta, Pudtol
atq	12,000 (1984 SIL).	Aralle-Tabulahan
atz	11 (2013 Y. Kimoto). 35–45 have some knowledge of the language, but cannot speak properly (2013 Y. Kimoto). Ethnic population: 150.	Arta
atx	17 (1986 SIL). Total users in all countries: 42.	Arutani
aty	900 (Lynch and Crowley 2001).	Aneityum
kfv	3,000 (2000 SIL).	Kurmukar
kfw	1,400 (2000 SIL).	Naga, Kharam
kft	206,000 (2011 census), all users. 91,200 (1995).	Kanjari
kfu	12,000 (2007). Ethnic population: 294,000. Kathodi.	Katkari
kfr	823,000 (2001 census). Total users in all countries: 873,000.	Kacchi
kfs	295,000 (1991 census).	Bilaspuri
kfp	34,600 (2001 census). Few monolinguals.	Korwa
kfq	574,000 (2001 census).	Korku
kfz	196,000 (Johnstone and Mandryk 2001). Total users in all countries: 202,000.	Koromfé
kfx	109,000 (1997). All Pahari 2,170,000 (1997).	Pahari, Kullu
kfy	2,360,000 (1998 survey). 472,000 monolinguals (1998 SIL).	Kumaoni
kff	362,000 (2001 census).	Koya
kfg	2,800 (2007).	Kudiya
kfd	14,000 (2007 census).	Koraga, Korra
kfe	930 (2001 census). Ethnic population: 1,400.	Kota
kfb	122,000 (2001 census).	Kolami, Northwestern
kfc	20,000 (2007 WFA).	Konda-Dora
kfa	200,000 (2001). Ethnic population: 200,000. 100,000 in Kodagu District; 100,000 in Karnataka District and major cities.	Kodava
kfn	3,000 (1993 SIL).	Kuk
kfo	40,000 (1999 SIL).	Koro
kfl	600 (Good et al 2011).	Kung
kfm	25,000 (2014 J. Leclerc).	Khunsari
kfj	1,000 (1991).	Kemiehua
kfk	80,100, all users. 65,100 (2001 census). 15,000.	Kinnauri
kfh	29,400 (2004 survey). Ethnic population: 32,800 (2001 census).	Kurichiya
kfi	180,000 (2000).	Kurumba, Kannada
xii	87 (2000). Total users in all countries: 187.	Xiri
xin	No known L1 speakers.	Xinca
xir	No known L1 speakers. Ethnic population: 900 (2000).	Xiriâna
xis	141,000 (2001 census).	Kisan
xiy	1 (2011 SIL). Ethnic population: 600 (2002 ISA). The ethnic population probably includes Kuruaya [kyr] as they are sometimes considered a single ethnic group. There were 8 elders of Kuruaya and Xipaya descendance in Altamira reported to speak the native language in 2007 (Crevels 2007).	Xipaya
nzs	20,200 (McKee and Manning 2015), decreasing. Active Deaf community estimated 3,000–4,000 (2016 R. McKee). Marked decline across all age groups since 2001 (McKee and Manning 2015, McKee and McKee 2016).	New Zealand Sign Language
nzu		Teke-Nzikou
nzz	3,000 (2009 SIL).	Dogon, Nanga Dama
nzy	18,500 (2000). Total users in all countries: 31,500.	Nzakambay
nzb	120,000 (2007 R. Radke). Total users in all countries: 140,000.	Njebi
nza	40,000 (2005 SIL), increasing. Based on the actual population of the subdivision where the Tigon Mbembe people are present, as of the official 2005 census (2014 C. Hamm). Total users in all countries: 60,000.	Mbembe, Tigon
nzk	50,000 (1996).	Nzakara
nzi	299,000 (2013 UNSD). Includes 27,800 Evalue (2013 UNSD). Total users in all countries: 365,700.	Nzema
bne	11,200 (2000 census).	Bintauna
nzm	34,100 (2001 census).	Naga, Zeme
vgt	5,000 (2014 EUD). 6,000 (2005 M. Vermeerbergen). 5,000 sign language users (2014 EUD).	Flemish Sign Language
vgr	3,660 (2004 J. Leclerc).	Vaghri
lpx	50,000 (1995 S. Randal).	Lopit
lpo	250,000 (Bradley 2007b). Few monolinguals.	Lipo
lpn	1,000 (2004).	Naga, Long Phuri
lpe	530 (1991 SIL).	Lepki
lpa	400 (1989 census).	Lelepa
ztm	59 (1994 SIL).	Zapotec, San Agustín Mixtepec
ztl	4,200 (1983 SIL).	Zapotec, Lapaguía-Guivini
ztn	1,000 (1990 census).	Zapotec, Santa Catarina Albarradas
zte	200 (1990 census).	Zapotec, Elotepec
ztg	2,500 (1990 census). 880 monolinguals. Mainly older women.	Zapotec, Xanaguía
zty	5,000 (2004 SIL). 3,000 for Yatee and 2,000 for Lachirioag.	Zapotec, Yatee
ztx	550 (1990 census). Ethnic population: 10,000 (1990 census).	Zapotec, Zaachila
ztu	9,500 (1990 census). 2,300 monolinguals.	Zapotec, Güilá
ztt	50 (2000 INALI). Ethnic population: 4,660.	Zapotec, Tejalapan
ztq	4,000 (1991 SIL).	Zapotec, Quioquitani-Quierí
ztp	75,000 (2000 census). 22,500 monolinguals (2005 census).	Zapotec, Loxicha
zts	5,000 (2007 SIL). 900 monolinguals.	Zapotec, Tilquiapan
irx	1,570 (1993 R. Doriot).	Kamberau
iry	10,000 (1991 OMF).	Iraya
irr	4,420 (2000).	Ir
iru	200,000 (2003 E. Udayakumar).	Irula
irh	4,000 (1987 SIL).	Irarutu
iri	40,000 (1985 UBS).	Irigwe
irk	462,000 (Johnstone and Mandryk 2001).	Iraqw
irn	40 (2010 SIL). Ethnic population: 360 (2006 ISA).	Irántxe
ire	70 (Wurm 2000).	Yeresiam
wtw	500 (2009 Masruddin and Wahibah), decreasing. Ethnic population: 4,000 (2009).	Wotu
cuu	50,000 (2000 census). Ethnic population: 50,000 (2000 census). Based on county level Dai populations. Total users in all countries: 50,400.	Tai Ya
cdn	1,830 (2000 USCWM). No monolinguals.	Chaudangsi
cut	3,140 (2000 INALI). 260 monolinguals.	Cuicatec, Teutila
wtf	510 (2003 SIL).	Watiwa
wth	No known L1 speakers.	Wathawurrung
wti	1,646,500 in Ethiopia, all users. L1 users: 1,630,000 (2010 UNSD), increasing. 4,840 Fadashi (2010 UNSD). L2 users: 16,500. 99,700 monolinguals. Total users in all countries: 1,826,500 (as L1: 1,810,000; as L2: 16,500).	Berta
wtk	350 (1998).	Watakataui
wtm	645,000 (2001 census). 51,600 monolinguals (2006 SIL).	Mewati
rgu	12,000 (2011).	Rikou
and	4,600 (1987 SIL).	Ansus
prd	350,000 (1999). Very few monolinguals.	Parsi-Dari
anf	700 (2003). Only a few fluent speakers left in an ethnic group of several hundred (Dimmendaal and Voeltz 2007).	Animere
gxx	293,000 (1999 SIL). 20,000 Niao (1995 SIL).	Wè Southern
frc	25,600 (2010 census), decreasing.	French, Cajun
fra	76,096,430 62,900,000 in France, all users. 60,000,000 (European Commission 2012). 2,900,000 (2010). Total users in all countries: 229,582,200 (as L1: 76,096,430; as L2: 153,485,770).	French
anb	No known L1 speakers. Last known speaker died in 1993.	Andoa
frd	50,000 (Marshall 2000). 25,000 in the language area and 25,000 elsewhere (Marshall 2000). Decreasing use in mixed language towns. 500 monolinguals.	Fordata
cdi	209,000 (2001 census). More speakers in Tapi district.	Chodri
frs	200,000 (2015 A. Remmers). No monolinguals.	Saxon, East Frisian Low
frr	10,000 (Stephens 1976). Ethnic population: 60,000 (Stephens 1976).	Frisian, Northern
frq	280 (2003 SIL).	Forak
frp	150,000 (2013). Total users in all countries: 227,000.	Arpitan
frt	450 (Lynch and Crowley 2001). Ethnic population: 560.	Fortsenal
fry	843,000 (2014). Total users in all countries: 845,200.	Frisian
cub	6,100 (Civallero 2008), increasing. 610 monolinguals. Total users in all countries: 6,260.	Cubeo
ano	370 (2007 B. Pencue), decreasing. 10,000 in 1908 (Landaburu 1979). 50 monolinguals. Ethnic population: 520 (Crevels 2007).	Andoque
anh	2,000 (1991 UBS).	Nend
ani	5,800 (2010 census). Ethnic population: 40,000 (2014 NCRP).	Andi
prk	400,000 (2000 census). Total users in all countries: 805,700.	Wa, Parauk
ant	6 (2006 census).	Antakarinya
rgk	No known L1 speakers. Ethnic population: 1,010 (2000). 1,420 all countries.	Rangkas
prt	20,000 (2001). Possibly 3,000 Ban Wen dialect speakers. Total users in all countries: 48,700 (as L1: 41,900; as L2: 6,800).	Prai
prw	430 (Wurm and Hattori 1981).	Parawen
sjr	2,080 (2000 census).	Siar-Lak
cui	2,200 (Civallero 2008). 1,500 monolinguals. Ethnic population: 2,280 (Crevels 2007). Total users in all countries: 2,850.	Cuiba
prq	300 (Mihas 2014). Ethnic population: 5,500 (2001 SIL).	Ashéninka, Perené
sjp	1,220,000 (2001 census).	Surjapuri
anq	250 (Abbi 2006).	Jarawa
anr	100,000 (2007). Ethnic population: 420,000 (2007).	Andh
tzx	2,080 (2003 SIL).	Tabriak
ans	No known L1 speakers.	Anserma
sjw	320 (2010 census), decreasing. Ethnic population: 11,500 (Golla 2007). 2,000 members of the Absentee Shawnee Tribe around Shawnee town (more than 100 speakers); 1,500 members of Eastern Shawnee Tribe in Ottawa County (a few elderly speakers). 8,000 members of the Loyal Shawnee in Cherokee region of Oklahoma around Whiteoak (fewer than 12 speakers) (Golla 2007).	Shawnee
tza	278,000 (2008 WFD). 278,000 deaf signers (2008 WFD).	Tanzanian Sign Language
tzh	273,000 (2000 INALI). 50,000 monolinguals.	Tzeltal
tzj	83,800 (1990 SIL), increasing. 17,000 monolinguals.	Tz’utujil
tzm	2,340,000 (2004 census). 936,000 monolinguals. Total users in all countries: 2,490,000.	Tamazight, Central Atlas
tzo	235,000 (2000 INALI).	Tzotzil
tzn	1,200 (1990 SIL). 10 monolinguals.	Tugun
dho	169,000 (2001 census).	Dhodia
dhn	139,000 (2001 census).	Dhanki
dhm	18,000 (2011). Total users in all countries: 30,000.	Dhimba
dhl	6 (2008 AUSTLANG).	Dhalandji
dhi	20,430 in Nepal, all users. 19,300 (2011 census), decreasing. 1,130 (2011 census). Ethnic population: 26,300 (2011 census). Total users in all countries: 20,880 (as L1: 19,750; as L2: 1,130).	Dhimal
dhg	270 (2006 census). 58 Djangu, 170 Gaalpu, 44 Wangurri (2006 census).	Dhangu-Djangu
dhd	1,870,000 (2001 census).	Dhundari
any	620,000 in Côte d’Ivoire, all users. L1 users: 610,000 (1993 SIL). L2 users: 10,000. Total users in all countries: 686,400 (as L1: 676,400; as L2: 10,000).	Anyin
dhx	No known L1 speakers.	Dhungaloo
dhw	48,650, all users. 45,800 (2011 census), decreasing. 2,850 (2011 census). No monolinguals (Toba et al 2005). Ethnic population: 84,100 (2011 census).	Danuwar
dhv	13,000 (2009), increasing. 60% live in greater Nouméa. Population figure adapted from 2009 census figure of 15,586 includes many second language speakers.	Drehu
dhu	No known L1 speakers.	Dhurga
dhs	5,000 (1999).	Dhaiso
dhr	1 (Wurm 2007).	Dhargari
sjo	30,000 (2000 A. Jun). Few monolinguals. Ethnic population: 189,000 (2000 census).	Xibe
sjl	6,500 (2001).	Miji
jku	500 (2008 E. Hannelova et al.), decreasing. Ethnic population: 13,000.	Labir
sjm	43,000 (2011 SIL). 4,000 monolinguals. Ethnic population: 43,000. Total users in all countries: 58,000.	Mapun
jkp	5,300 (1983 census).	Karen, Paku
jkr	1,500 (2011).	Koro
jkm	4,000 (2010 SIL). Also live mixed with Bwe Karen [bwe] and Paku Karen [jkp] in some villages.	Karen, Mobwa
jko	1,000.	Kubo
jka	5,500 (2014 M. Kramer).	Kaera
sja	3,500 (2004 IMB), increasing. Total users in all countries: 4,010.	Epena
sjg	23,500 (1993 census).	Assangori
sjd	350 (2010 census). Census includes Skolt Saami [sms] and Ter Saami [sjt]. Ethnic population: 1,770 (2010 census). Number includes all Saami.	Saami, Kildin
hah	1,300 (1977 P. Lincoln).	Hahon
bnz	450 (2001 SIL).	Beezen
bny	4,200 (Wurm and Hattori 1981).	Bintulu
bnx	171,000 (1995 SIL). 85,000 Bangubangu, 30,000 Mikebwe, 20,000 Kasenga, 32,000 Nonda, 4,000 Hombo.	Bangubangu
hal	13,500 (2000). Total users in all countries: 17,500.	Halang
ham	2,150 (1986 SIL). 290 in Yoliapi (1982 SIL). 1,600 monolinguals.	Hewa
han	150,000 (1987).	Hangaza
hao	5,000 (1982 SIL), increasing.	Hakö
bns	3,070,000 (2001 census). Population estimates range up to 20,000,000.	Bundeli
bnr	520 (1983 SIL).	Butmas-Tur
bnq	3,000 (Utsumi 2001), decreasing.	Bantik
hac	180,000 (Paul 2007). Population provisionally estimated to be two-thirds of the 300,000 speakers in Iran and Iraq (2007 L. Paul). Total users in all countries: 300,000.	Gurani
had	16,000 (1993 TEAM).	Hatam
hae	4,530,000 (1994). 25,500,000 all Oromo speakers in Ethiopia (2007 census).	Oromo, Eastern
haf		Haiphong Sign Language
hag	6,800 (2003 GILLBT), increasing. 4,100 in the traditional area, 2,700 elsewhere.	Hanga
hax	7 (FPCC 2014). 6 semi-speakers (FPCC 2014). L2 users: 0. Ethnic population: 500 (Golla 2007).	Haida, Southern
bnj	1,130 (2002 UNSD).	Tawbuid, Eastern
haz	1,770,000 (2000). Total users in all countries: 2,295,000.	Hazaragi
bno	75,000 (2011 Governor’s Office, Romblon Province), decreasing. 500 monolinguals. Ethnic population: 75,000.	Bantoanon
bnn	38,000 (CIP-EY 2002). Ethnic population: 38,000.	Bunun
bnm	9,000 (Johnstone and Mandryk 2001), decreasing. Very few monolinguals. Total users in all countries: 15,000.	Batanga
bnl	59 (2000).	Boon
hap	3,000 (1982 WT).	Hupla
haq	990,000 (Johnstone and Mandryk 2001). Many monolinguals.	Ha
har	33,570, all users. L1 users: 25,800 (2010 UNSD). 20,000 in Addis Ababa, outside Harar City (Hetzron 1997). L2 users: 7,770. 2,350 monolinguals.	Harari
has	240 (FPCC 2014). 21 semi-speakers (FPCC 2014). Ethnic population: 1,680 (FPCC 2014).	Haisla
bng	3,900 (2011 S. Smith), decreasing. 400 on Corisco Island. No monolinguals. Total users in all countries: 5,400.	Benga
bnf	1,000 (1989 SIL).	Masiwang
hav	506,000 (2002).	Havu
haw	2,000 (Wurm 2007). 500 with Ni’ihau Island connections, another 500 in their 70s or 80s (1995 L. Wong). 8,000 can speak and understand it (1993 K. Haugen). In 1900 there were 37,000 L1 speakers (1995 Honolulu Advertiser). 2000 census lists 27,200. Ethnic population: 336,000. 237,000 in Hawaii (1996 Hawaii State Department of Health), 19% of the population (1990 Hawaii State Department of Health), and 99,000 ethnic Hawaiians on the United States mainland (1990 census), including 24,300 in California. Ethnic Hawaiians include 8,300 pure Hawaiian, 72,800 between 50% and 99% Hawaiian, 127,500 fewer than 50% Hawaiian in Hawaii (1984 Office of Hawaiian Affairs). In 1778 there were believed to have been more than 500,000 pure Hawaiians (1995 W. Harada).	Hawaiian
ola	1,170 (2011 census), decreasing. Mostly in original area. High language loss among those who have left the language area. Ethnic population: 1,150 (2011 census).	Walungge
old	597,000 (2000).	Mochi
ole	500 (Van Driem 2007).	Olekha
olk	5 (2006 AUSTLANG).	Olkol
olm		Oloma
olo	25,600 (2010 census). Census includes Karelian[krl] and Ludian [lud]. Ethnic population: 65,000. Total users in all countries: 30,770.	Livvi-Karelian
olr	5 (2008).	Olrat
olu	70,000 (2015 L. Jordan).	Kuvale
umu	7 (Kinkade 1991). Ethnic population: 400 (Kinkade 1991).	Munsee
ump	12 (2005 AUSTLANG).	Umpila
for	17,000 (1991 SIL).	Fore
fos	No known L1 speakers.	Siraya
fod	24,500 (2002 SIL). Total users in all countries: 25,500.	Foodo
umd	No known L1 speakers.	Umbindhamu
umg	No known L1 speakers.	Umbuygamu
uma	25 (Golla 2007). 25–50 Umatilla and Walla Walla [waa] speakers together. Ethnic population: 120 (1977 SIL).	Umatilla
umb	6,000,000 (2012 World Factbook).	Umbundu
umm	20,000 (1995).	Umon
fom	13,000 (2002).	Foma
fon	1,190,000 (2014 J. Leclerc). Total users in all countries: 1,225,500.	Fon
umn	4,000 (2008 SIL).	Naga, Paungnyuan
umi	120 (Wurm and Hattori 1981).	Ukit
foi	2,800 (1980 UBS).	Foi
mbl	1,270 (2006 FUNASA).	Maxakalí
mbm	20,000 (2014 J. Leclerc).	Ombamba
mbn	300 (Civallero 2008). Most are monolingual. Ethnic population: 540 (Crevels 2007).	Macaguán
mbo	45,000 (Ewané Etamé 1995).	Mbo
